key,sentence_id,smell_id,index_start,index_end,language_construct,smell_title,smell_text
EXEC-70,3,res_8,5,10,Subjective Language,Weak,would
EXEC-70,3,res_8,67,68,Subjective Language,Vague,/
EXEC-70,3,res_3,61,86,Compound Noun,Ambiguous Compound Nouns,daemon user thread levels
EXEC-70,4,res_3,0,24,Compound Noun,Ambiguous Compound Nouns,Delegate thread creation
EXEC-70,4,res_6,0,49,Nominalization,Ambiguous Nominalization,Delegate thread creation to java.util.concurrent .
ACCUMULO-4852,1,res_8,143,146,Subjective Language,Dangerous Plural,all
ACCUMULO-4852,1,res_8,111,115,Subjective Language,Dangerous Plural,each
ACCUMULO-4852,1,res_8,173,177,Subjective Language,Dangerous Plural,each
ACCUMULO-4852,1,res_8,139,142,Subjective Language,Dangerous Plural,any
ACCUMULO-4852,1,res_8,142,143,Subjective Language,Vague,/
ACCUMULO-4852,1,res_8,46,52,Subjective Language,Vague,Common
ACCUMULO-4852,1,res_3,40,68,Compound Noun,Ambiguous Compound Nouns,MITRE Common Vulnerabilities
ACCUMULO-4852,2,res_1,91,98,Ambiguous Adverb or Adjective,Ambiguous Words,include
ACCUMULO-4852,2,res_5,87,90,Negative Statement,Negative,not
ACCUMULO-4852,2,res_9,0,4,Vague Pronoun,Pronoun,This
ACCUMULO-4852,2,res_8,53,54,Subjective Language,Vague,/
ACCUMULO-4852,2,res_8.1,10,19,Subjective Language,Passive Voice Ambiguity,is needed
ACCUMULO-4852,2,res_3,37,59,Compound Noun,Ambiguous Compound Nouns,MITRE CVE lookup check
ACCUMULO-4852,2,res_6,99,150,Nominalization,Ambiguous Nominalization,checking for vulnerabilities in dependant libraries
ACCUMULO-4852,3,res_9,97,101,Vague Pronoun,Pronoun,most
ACCUMULO-4852,3,res_8,46,47,Subjective Language,Vague,/
ACCUMULO-4852,3,res_8,56,57,Subjective Language,Vague,/
ACCUMULO-4852,3,res_8,112,113,Subjective Language,Vague,/
ACCUMULO-4852,3,res_2,97,101,Comparatives and Superlatives,Superlative Adjective,most
ACCUMULO-4852,3,res_3,0,22,Compound Noun,Ambiguous Compound Nouns,OWASP Dependency check
ACCUMULO-4852,4,res_7,0,4,Other / Misc,Ambiguous Positioning,Also
ACCUMULO-4852,4,res_8,86,89,Subjective Language,Dangerous Plural,all
ACCUMULO-4852,4,res_8,119,122,Subjective Language,Dangerous Plural,all
ACCUMULO-4852,4,res_8,115,118,Subjective Language,Dangerous Plural,any
ACCUMULO-4852,4,res_9,158,162,Vague Pronoun,Pronoun,that
ACCUMULO-4852,4,res_8,118,119,Subjective Language,Vague,/
ACCUMULO-4852,4,res_8,144,145,Subjective Language,Vague,/
ACCUMULO-4852,4,res_8,21,32,Subjective Language,Vague,appropriate
ACCUMULO-4852,5,res_8,163,166,Subjective Language,Dangerous Plural,any
ACCUMULO-4852,5,res_9,85,89,Vague Pronoun,Pronoun,this
ACCUMULO-4852,5,res_8,112,116,Subjective Language,Weak,will
ACCUMULO-4852,5,res_8,104,105,Subjective Language,Vague,/
ACCUMULO-4852,5,res_8,63,72,Subjective Language,Vague,aggregate
ACCUMULO-4852,5,res_6,74,111,Nominalization,Ambiguous Nominalization,Generating this report nightly / weekly
ACCUMULO-4852,5,res_6,143,154,Nominalization,Ambiguous Nominalization,development
ACCUMULO-4852,6,res_9,14,18,Vague Pronoun,Pronoun,that
ACCUMULO-4852,6,res_9,104,108,Vague Pronoun,Pronoun,that
ACCUMULO-4852,6,res_9,117,122,Vague Pronoun,Pronoun,these
ACCUMULO-4852,6,res_8,75,79,Subjective Language,Weak,will
ACCUMULO-4852,6,res_6,32,74,Nominalization,Ambiguous Nominalization,removing vulnerabilities on a weekly basis
ACCUMULO-4852,7,res_3,11,33,Compound Noun,Ambiguous Compound Nouns,OWASP Dependency Check
ACCUMULO-4808,1,res_8,35,37,Subjective Language,Inside Behaviour,at
ACCUMULO-4808,1,res_8,4,14,Subjective Language,Vague,capability
ACCUMULO-4808,1,res_6,38,52,Nominalization,Ambiguous Nominalization,table creation
ACCUMULO-4808,2,res_8,68,70,Subjective Language,Inside Behaviour,at
ACCUMULO-4808,2,res_8,0,6,Subjective Language,Vague,Recent
ACCUMULO-4808,2,res_8.1,57,67,Subjective Language,Passive Voice Ambiguity,be created
ACCUMULO-4808,2,res_4,25,53,Coordination,Coordination of two nouns followed by another noun,iterator and locality groups
ACCUMULO-4808,2,res_6,71,85,Nominalization,Ambiguous Nominalization,table creation
ACCUMULO-4808,4,res_7,8,13,Other / Misc,Continuance,below
ACCUMULO-4808,4,res_8,217,222,Subjective Language,Imprecise,could
ACCUMULO-4808,4,res_8,232,234,Subjective Language,Inside Behaviour,at
ACCUMULO-4808,4,res_9,179,181,Vague Pronoun,Pronoun,It
ACCUMULO-4808,4,res_8,217,222,Subjective Language,Weak,could
ACCUMULO-4808,4,res_8,182,187,Subjective Language,Weak,would
ACCUMULO-4808,4,res_8,59,60,Subjective Language,Vague,/
ACCUMULO-4808,4,res_8,64,65,Subjective Language,Vague,/
ACCUMULO-4808,4,res_8,71,72,Subjective Language,Vague,/
ACCUMULO-4808,4,res_8.1,225,233,Subjective Language,Passive Voice Ambiguity,be added
ACCUMULO-4808,4,res_3,20,85,Compound Noun,Ambiguous Compound Nouns,ACCUMULO-4806|https://issues.apache.org jira browse ACCUMULO-4806
ACCUMULO-4808,4,res_6,235,252,Nominalization,Ambiguous Nominalization,table creation or
ACCUMULO-4808,5,res_7,76,80,Other / Misc,Ambiguous Positioning,also
ACCUMULO-4808,5,res_8,70,75,Subjective Language,Imprecise,could
ACCUMULO-4808,5,res_8,81,86,Subjective Language,Imprecise,could
ACCUMULO-4808,5,res_8,95,97,Subjective Language,Inside Behaviour,at
ACCUMULO-4808,5,res_9,129,131,Vague Pronoun,Pronoun,it
ACCUMULO-4808,5,res_9,46,47,Vague Pronoun,Pronoun,I
ACCUMULO-4808,5,res_9,114,115,Vague Pronoun,Pronoun,I
ACCUMULO-4808,5,res_9,98,102,Vague Pronoun,Pronoun,that
ACCUMULO-4808,5,res_9,124,128,Vague Pronoun,Pronoun,that
ACCUMULO-4808,5,res_9,60,64,Vague Pronoun,Pronoun,this
ACCUMULO-4808,5,res_8,70,75,Subjective Language,Weak,could
ACCUMULO-4808,5,res_8,81,86,Subjective Language,Weak,could
ACCUMULO-4808,5,res_8,110,113,Subjective Language,Vague,but
ACCUMULO-4808,5,res_8,136,140,Subjective Language,Vague,more
ACCUMULO-4808,5,res_8.1,27,36,Subjective Language,Passive Voice Ambiguity,were made
ACCUMULO-4808,5,res_8.1,87,94,Subjective Language,Passive Voice Ambiguity,be done
ACCUMULO-4808,5,res_2,136,140,Comparatives and Superlatives,Comparative Adverb,more
ACCUMULO-4808,6,res_9,13,17,Vague Pronoun,Pronoun,that
ACCUMULO-4808,6,res_9,149,153,Vague Pronoun,Pronoun,they
ACCUMULO-4808,6,res_9,192,196,Vague Pronoun,Pronoun,they
ACCUMULO-4808,6,res_8,91,96,Subjective Language,Vague,there
ACCUMULO-4808,6,res_8,91,99,Subjective Language,Vague,there is
ACCUMULO-4808,6,res_8.1,31,41,Subjective Language,Passive Voice Ambiguity,is created
ACCUMULO-4808,6,res_8.1,154,168,Subjective Language,Passive Voice Ambiguity,are off - loaded
ACCUMULO-4808,7,res_8,88,93,Subjective Language,Imprecise,could
ACCUMULO-4808,7,res_8,195,200,Subjective Language,Imprecise,could
ACCUMULO-4808,7,res_8,103,105,Subjective Language,Inside Behaviour,at
ACCUMULO-4808,7,res_5,270,273,Negative Statement,Negative,not
ACCUMULO-4808,7,res_9,155,159,Vague Pronoun,Pronoun,that
ACCUMULO-4808,7,res_8,88,93,Subjective Language,Weak,could
ACCUMULO-4808,7,res_8,195,200,Subjective Language,Weak,could
ACCUMULO-4808,7,res_8,264,269,Subjective Language,Weak,would
ACCUMULO-4808,7,res_8,67,71,Subjective Language,Vague,fast
ACCUMULO-4808,7,res_8,280,289,Subjective Language,Vague,necessary
ACCUMULO-4808,7,res_8.1,95,103,Subjective Language,Passive Voice Ambiguity,be added
ACCUMULO-4808,7,res_8.1,202,211,Subjective Language,Passive Voice Ambiguity,be avoided
ACCUMULO-4808,7,res_6,174,182,Nominalization,Ambiguous Nominalization,shedding
ACCUMULO-4808,7,res_6,106,120,Nominalization,Ambiguous Nominalization,table creation
ACCUMULO-4808,9,res_8,20,22,Subjective Language,Inside Behaviour,at
ACCUMULO-4808,9,res_6,23,37,Nominalization,Ambiguous Nominalization,table creation
ACCUMULO-4733,1,res_9,32,37,Vague Pronoun,Pronoun,which
ACCUMULO-4733,1,res_3,38,60,Compound Noun,Ambiguous Compound Nouns,Java security provider
ACCUMULO-4733,1,res_6,0,79,Nominalization,Ambiguous Nominalization,Adding the ability to configure which Java security provider to use for crypto .
ACCUMULO-4729,1,res_9,13,14,Vague Pronoun,Pronoun,I
ACCUMULO-4729,1,res_9,89,90,Vague Pronoun,Pronoun,I
ACCUMULO-4729,1,res_9,34,43,Vague Pronoun,Pronoun,something
ACCUMULO-4729,1,res_9,84,88,Vague Pronoun,Pronoun,That
ACCUMULO-4729,1,res_8,91,94,Subjective Language,Weak,can
ACCUMULO-4729,1,res_8,15,20,Subjective Language,Weak,would
ACCUMULO-4729,2,res_8,20,26,Subjective Language,Imprecise,should
ACCUMULO-4729,2,res_8,20,26,Subjective Language,Weak,should
ACCUMULO-4706,1,res_8,16,20,Subjective Language,Dangerous Plural,some
ACCUMULO-4706,1,res_9,153,155,Vague Pronoun,Pronoun,it
ACCUMULO-4706,1,res_9,182,186,Vague Pronoun,Pronoun,them
ACCUMULO-4706,1,res_8,60,61,Subjective Language,Vague,/
ACCUMULO-4706,1,res_8,6,11,Subjective Language,Vague,there
ACCUMULO-4706,1,res_8.1,187,199,Subjective Language,Passive Voice Ambiguity,are designed
ACCUMULO-4706,1,res_3,216,238,Compound Noun,Ambiguous Compound Nouns,node Accumulo instance
ACCUMULO-4706,1,res_6,207,238,Nominalization,Ambiguous Nominalization,a single - node Accumulo instance
ACCUMULO-4706,1,res_6,265,288,Nominalization,Ambiguous Nominalization,development and testing
ACCUMULO-4706,1,res_6,281,288,Nominalization,Ambiguous Nominalization,testing
ACCUMULO-4706,2,res_9,0,2,Vague Pronoun,Pronoun,It
ACCUMULO-4706,2,res_8,3,8,Subjective Language,Weak,would
ACCUMULO-4706,2,res_6,56,120,Nominalization,Ambiguous Nominalization,running Accumulo processes in containers on a production cluster
ACCUMULO-4706,2,res_6,102,112,Nominalization,Ambiguous Nominalization,production
ACCUMULO-4706,3,res_8,10,15,Subjective Language,Imprecise,could
ACCUMULO-4706,3,res_8,10,15,Subjective Language,Weak,could
ACCUMULO-4706,3,res_8,60,61,Subjective Language,Vague,/
ACCUMULO-4706,3,res_8.1,19,31,Subjective Language,Passive Voice Ambiguity,be published
ACCUMULO-4706,4,res_9,32,33,Vague Pronoun,Pronoun,I
ACCUMULO-4706,4,res_9,17,21,Vague Pronoun,Pronoun,this
ACCUMULO-4706,4,res_8.1,54,61,Subjective Language,Passive Voice Ambiguity,be done
ACCUMULO-4706,4,res_8.1,88,97,Subjective Language,Passive Voice Ambiguity,be passed
ACCUMULO-4706,4,res_6,154,179,Nominalization,Ambiguous Nominalization,using configuration files
ACCUMULO-4706,4,res_6,184,220,Nominalization,Ambiguous Nominalization,passing files to a running container
ACCUMULO-4706,4,res_6,203,210,Nominalization,Ambiguous Nominalization,running
ACCUMULO-4706,5,res_9,14,18,Vague Pronoun,Pronoun,this
ACCUMULO-4706,5,res_9,100,105,Vague Pronoun,Pronoun,which
ACCUMULO-4706,5,res_8.1,106,115,Subjective Language,Passive Voice Ambiguity,is called
ACCUMULO-4706,6,res_8,81,87,Subjective Language,Inside Behaviour,during
ACCUMULO-4706,6,res_9,0,4,Vague Pronoun,Pronoun,This
ACCUMULO-4706,6,res_8,5,10,Subjective Language,Weak,would
ACCUMULO-4706,7,res_8,40,45,Subjective Language,Imprecise,could
ACCUMULO-4706,7,res_8,40,45,Subjective Language,Weak,could
ACCUMULO-4706,7,res_8.1,46,56,Subjective Language,Passive Voice Ambiguity,be started
ACCUMULO-4706,7,res_3,144,159,Compound Noun,Ambiguous Compound Nouns,= value option
ACCUMULO-4706,7,res_6,87,185,Nominalization,Ambiguous Nominalization,updating ' accumulo < service > ' commands to have a { { -o key = value } } option to override configuration
ACCUMULO-4706,8,res_7,43,52,Other / Misc,Continuance,following
ACCUMULO-4706,8,res_9,0,5,Vague Pronoun,Pronoun,These
ACCUMULO-4706,8,res_8,26,31,Subjective Language,Weak,would
ACCUMULO-4706,8,res_8,169,170,Subjective Language,Vague,/
ACCUMULO-4706,8,res_8,196,197,Subjective Language,Vague,/
ACCUMULO-4706,8,res_8,269,270,Subjective Language,Vague,/
ACCUMULO-4706,8,res_8,343,344,Subjective Language,Vague,/
ACCUMULO-4706,8,res_8,417,418,Subjective Language,Vague,/
ACCUMULO-4706,8,res_3,128,157,Compound Noun,Ambiguous Compound Nouns,--upload accumulo site docker
ACCUMULO-4706,8,res_3,163,212,Compound Noun,Ambiguous Compound Nouns,apache accumulo docker run apache accumulo master
ACCUMULO-4706,8,res_3,259,286,Compound Noun,Ambiguous Compound Nouns,run apache accumulo tserver
ACCUMULO-4706,8,res_3,333,360,Compound Noun,Ambiguous Compound Nouns,run apache accumulo monitor
ACCUMULO-4706,8,res_3,407,433,Compound Noun,Ambiguous Compound Nouns,run apache accumulo tracer
ACCUMULO-4706,9,res_3,16,37,Compound Noun,Ambiguous Compound Nouns,Accumulo Docker image
ACCUMULO-4655,2,res_5,35,38,Negative Statement,Negative,not
ACCUMULO-4655,2,res_9,10,14,Vague Pronoun,Pronoun,that
ACCUMULO-4655,3,res_9,53,56,Vague Pronoun,Pronoun,its
ACCUMULO-4655,3,res_9,3,5,Vague Pronoun,Pronoun,we
ACCUMULO-4655,3,res_9,70,72,Vague Pronoun,Pronoun,we
ACCUMULO-4655,3,res_8,73,78,Subjective Language,Weak,would
ACCUMULO-4655,3,res_8,88,99,Subjective Language,Vague,appropriate
ACCUMULO-4655,4,res_7,34,45,Other / Misc,Continuance,in addition
ACCUMULO-4655,4,res_8,8,14,Subjective Language,Imprecise,should
ACCUMULO-4655,4,res_8,34,45,Subjective Language,Missing Content,in addition
ACCUMULO-4655,4,res_8,8,14,Subjective Language,Weak,should
ACCUMULO-4654,1,res_8,41,44,Subjective Language,Dangerous Plural,all
ACCUMULO-4654,1,res_8,61,66,Subjective Language,Vague,there
ACCUMULO-4654,1,res_6,41,55,Nominalization,Ambiguous Nominalization,all migrations
ACCUMULO-4654,1,res_6,79,89,Nominalization,Ambiguous Nominalization,migrations
ACCUMULO-4654,2,res_7,60,64,Other / Misc,Ambiguous Positioning,even
ACCUMULO-4654,2,res_9,0,1,Vague Pronoun,Pronoun,I
ACCUMULO-4654,2,res_9,17,21,Vague Pronoun,Pronoun,this
ACCUMULO-4654,2,res_8,70,75,Subjective Language,Vague,there
ACCUMULO-4654,2,res_8,99,105,Subjective Language,Unclear Inclusion,up to 
ACCUMULO-4654,2,res_6,10,123,Nominalization,Ambiguous Nominalization,fixing this to allow adding additional migrations even when there are pending migrations up to a specified amount
ACCUMULO-4654,2,res_6,31,59,Nominalization,Ambiguous Nominalization,adding additional migrations
ACCUMULO-4654,2,res_6,38,59,Nominalization,Ambiguous Nominalization,additional migrations
ACCUMULO-4654,2,res_6,88,98,Nominalization,Ambiguous Nominalization,migrations
ACCUMULO-4654,3,res_7,42,46,Other / Misc,Ambiguous Positioning,even
ACCUMULO-4654,3,res_8,19,25,Subjective Language,Imprecise,should
ACCUMULO-4654,3,res_9,52,54,Vague Pronoun,Pronoun,we
ACCUMULO-4654,3,res_8,19,25,Subjective Language,Weak,should
ACCUMULO-4654,3,res_6,32,41,Nominalization,Ambiguous Nominalization,migration
ACCUMULO-4654,3,res_6,42,78,Nominalization,Ambiguous Nominalization,even when we have pending migrations
ACCUMULO-4628,1,res_8,0,4,Subjective Language,Dangerous Plural,Some
ACCUMULO-4628,1,res_9,49,53,Vague Pronoun,Pronoun,that
ACCUMULO-4628,1,res_9,54,56,Vague Pronoun,Pronoun,we
ACCUMULO-4628,2,res_9,0,2,Vague Pronoun,Pronoun,It
ACCUMULO-4628,2,res_9,34,38,Vague Pronoun,Pronoun,that
ACCUMULO-4628,2,res_9,46,50,Vague Pronoun,Pronoun,that
ACCUMULO-4628,2,res_8,39,42,Subjective Language,Weak,can
ACCUMULO-4628,2,res_8,3,8,Subjective Language,Weak,would
ACCUMULO-4595,1,res_8,99,104,Subjective Language,Imprecise,could
ACCUMULO-4595,1,res_9,0,2,Vague Pronoun,Pronoun,It
ACCUMULO-4595,1,res_9,94,98,Vague Pronoun,Pronoun,that
ACCUMULO-4595,1,res_8,99,104,Subjective Language,Weak,could
ACCUMULO-4595,1,res_8,3,8,Subjective Language,Weak,would
ACCUMULO-4595,1,res_8,119,123,Subjective Language,Vague,both
ACCUMULO-4595,1,res_8,39,45,Subjective Language,Vague,custom
ACCUMULO-4595,1,res_8,12,18,Subjective Language,Vague,useful
ACCUMULO-4595,1,res_8,85,152,Subjective Language,Unclear Associativity,or Value that could be applied to both mutations on live ingest and
ACCUMULO-4595,1,res_8.1,105,115,Subjective Language,Passive Voice Ambiguity,be applied
ACCUMULO-4595,1,res_6,153,182,Nominalization,Ambiguous Nominalization,writing RFiles for bulk loads
ACCUMULO-4595,1,res_6,39,93,Nominalization,Ambiguous Nominalization,custom validation for specific parts of a Key or Value
ACCUMULO-4595,2,res_8,25,30,Subjective Language,Imprecise,could
ACCUMULO-4595,2,res_9,10,11,Vague Pronoun,Pronoun,I
ACCUMULO-4595,2,res_9,20,24,Vague Pronoun,Pronoun,this
ACCUMULO-4595,2,res_8,25,30,Subjective Language,Weak,could
ACCUMULO-4595,2,res_8,64,67,Subjective Language,Vague,but
ACCUMULO-4595,2,res_8.1,31,38,Subjective Language,Passive Voice Ambiguity,be done
ACCUMULO-4595,2,res_8.1,126,143,Subjective Language,Passive Voice Ambiguity,are bulk imported
ACCUMULO-4595,2,res_3,88,112,Compound Noun,Ambiguous Compound Nouns,importdirectory use case
ACCUMULO-4595,3,res_5,21,24,Negative Statement,Negative,not
ACCUMULO-4595,3,res_9,0,4,Vague Pronoun,Pronoun,This
ACCUMULO-4595,3,res_6,0,15,Nominalization,Ambiguous Nominalization,This validation
ACCUMULO-4595,4,res_7,24,28,Other / Misc,Ambiguous Positioning,only
ACCUMULO-4595,4,res_9,9,13,Vague Pronoun,Pronoun,this
ACCUMULO-4595,4,res_8,24,28,Subjective Language,Vague,only
ACCUMULO-4595,4,res_8,33,39,Subjective Language,Vague,simple
ACCUMULO-4595,4,res_6,0,51,Nominalization,Ambiguous Nominalization,Thinking this is really only for simple validation .
ACCUMULO-4595,4,res_6,33,50,Nominalization,Ambiguous Nominalization,simple validation
ACCUMULO-4595,7,res_7,19,23,Other / Misc,Ambiguous Positioning,only
ACCUMULO-4595,7,res_8,19,23,Subjective Language,Vague,only
ACCUMULO-4595,8,res_7,20,24,Other / Misc,Ambiguous Positioning,only
ACCUMULO-4595,8,res_8,20,24,Subjective Language,Vague,only
ACCUMULO-4595,9,res_8,0,6,Subjective Language,Vague,Simple
ACCUMULO-4595,9,res_6,21,35,Nominalization,Ambiguous Nominalization,inserting data
ACCUMULO-4544,1,res_9,71,73,Vague Pronoun,Pronoun,it
ACCUMULO-4544,1,res_9,8,11,Vague Pronoun,Pronoun,you
ACCUMULO-4544,1,res_8,12,15,Subjective Language,Weak,can
ACCUMULO-4544,1,res_8,74,79,Subjective Language,Weak,would
ACCUMULO-4544,1,res_8,23,29,Subjective Language,Vague,custom
ACCUMULO-4544,1,res_6,146,160,Nominalization,Ambiguous Nominalization,when inserting
ACCUMULO-4544,1,res_6,111,145,Nominalization,Ambiguous Nominalization,the inverse transformation for use
ACCUMULO-4544,2,res_7,124,128,Other / Misc,Ambiguous Positioning,also
ACCUMULO-4544,2,res_9,148,156,Vague Pronoun,Pronoun,whatever
ACCUMULO-4544,2,res_9,14,17,Vague Pronoun,Pronoun,you
ACCUMULO-4544,2,res_9,52,55,Vague Pronoun,Pronoun,you
ACCUMULO-4544,2,res_9,157,161,Vague Pronoun,Pronoun,your
ACCUMULO-4544,2,res_6,124,180,Nominalization,Ambiguous Nominalization,also manually reversing whatever your formatter is doing
ACCUMULO-4544,2,res_6,101,114,Nominalization,Ambiguous Nominalization,modifications
ACCUMULO-4500,1,res_8,46,49,Subjective Language,Dangerous Plural,all
ACCUMULO-4500,1,res_8,15,22,Subjective Language,Vague,quickly
ACCUMULO-4500,2,res_8,33,34,Subjective Language,Vague,/
ACCUMULO-4500,2,res_8,45,46,Subjective Language,Vague,/
ACCUMULO-4493,1,res_8,6,12,Subjective Language,Imprecise,should
ACCUMULO-4493,1,res_8,6,12,Subjective Language,Weak,should
ACCUMULO-4493,1,res_6,55,80,Nominalization,Ambiguous Nominalization,deployment using a keytab
ACCUMULO-4493,3,res_8,6,12,Subjective Language,Imprecise,should
ACCUMULO-4493,3,res_8,6,12,Subjective Language,Weak,should
ACCUMULO-4492,1,res_8,86,90,Subjective Language,Dangerous Plural,much
ACCUMULO-4492,1,res_8,95,101,Subjective Language,Vague,unless
ACCUMULO-4492,1,res_8.1,127,139,Subjective Language,Passive Voice Ambiguity,be formatted
ACCUMULO-4492,1,res_6,0,51,Nominalization,Ambiguous Nominalization,When converting an existing cluster to use Kerberos
ACCUMULO-4492,1,res_6,19,27,Nominalization,Ambiguous Nominalization,existing
ACCUMULO-4492,1,res_6,53,61,Nominalization,Ambiguous Nominalization,existing
ACCUMULO-4492,2,res_9,16,20,Vague Pronoun,Pronoun,that
ACCUMULO-4492,2,res_8,37,40,Subjective Language,Weak,can
ACCUMULO-4492,2,res_8,86,91,Subjective Language,Weak,would
ACCUMULO-4492,2,res_8,101,107,Subjective Language,Vague,useful
ACCUMULO-4492,2,res_6,52,60,Nominalization,Ambiguous Nominalization,existing
ACCUMULO-4492,3,res_1,68,75,Ambiguous Adverb or Adjective,Ambiguous Words,include
ACCUMULO-4492,3,res_5,172,175,Negative Statement,Negative,not
ACCUMULO-4492,3,res_9,12,21,Vague Pronoun,Pronoun,something
ACCUMULO-4492,3,res_2,156,164,Comparatives and Superlatives,Comparative Verbs,matching
ACCUMULO-4492,3,res_2,177,185,Comparatives and Superlatives,Comparative Verbs,matching
