projectID,key,creationDate,resolutionDate,updateDate,dueDate,resolution,type,priority,fixVersions,versions,timeSpent,aggregatedTimeSpent,timeEstimate,timeOriginalEstimate,aggregateTimeEstimate,progressPercent,componentName,componentDescription,description,summary,watchCount,votes,labels,creatorName,creatorActive,assignee,reporter
accumulo,ACCUMULO-4655,2017-06-16T16:09:59.000+0000,2017-07-23T16:59:04.000+0000,2019-04-23T16:12:52.000+0000,,Fixed,New Feature,Major,['1.9.0'],"['1.6.6', '1.8.1']",14400,14400,,,,100,['monitor'],['web page monitor'],"The monitor has a column for last contact.  Sometimes that is due to a tserver not responding.  If we show the response time for a tserver to return its status, then we would have the appropriate info.",monitor should show response time in addition to last contact,3,,,ivan.bella,True,ivan.bella,ivan.bella
accumulo,ACCUMULO-4654,2017-06-16T16:07:05.000+0000,2017-07-19T22:53:57.000+0000,2019-04-23T16:12:57.000+0000,,Fixed,New Feature,Major,['1.9.0'],"['1.6.6', '1.8.1']",26400,26400,,,,100,['master'],['master'],The HostRegexTableBalancer current halts all migrations when there are pending migrations.  I propose fixing this to allow adding additional migrations even when there are pending migrations up to a specified amount.,HostRegex balancer should allow migration even when we have pending migrations,2,,"['balancer', 'master', 'migration']",ivan.bella,True,ivan.bella,ivan.bella
accumulo,ACCUMULO-4628,2017-04-24T18:26:48.000+0000,,2017-04-24T18:34:36.000+0000,,,New Feature,Minor,,,,,,,,,['client'],['client code'],"Some fallout from HIVE-15795:

[~faganm] noticed that we don't have a lexicoder in Accumulo for {{BigDecimal}}. It would be nice to implement one that can do that.",Provide Lexicoder for decimal data,2,,,elserj,True,,elserj
accumulo,ACCUMULO-4595,2017-03-01T22:37:17.000+0000,,2019-06-11T05:12:35.000+0000,,,New Feature,Minor,,,,,,,,,,,"It would be useful to be able to write custom validation for specific parts of a Key or Value that could be applied to both mutations on live ingest and writing RFiles for bulk loads.  Initially I thought this could be done with a table constraint, but didn't consider the importdirectory use case where RFiles are bulk imported.  This validation does not need to track state though.  Thinking this is really only for simple validation.  Couple of contrived examples.

1) Validate the CF starts with the string ""abcd"".
2) Validate the CV only contains strings from a predefined list of strings.
3) Validate the row only contains letters or numbers.

",Simple validator for inserting data,3,,,mjwall,True,,mjwall
accumulo,ACCUMULO-4544,2016-12-28T18:42:58.000+0000,,2016-12-29T07:46:28.000+0000,,,New Feature,Major,,['1.7.1'],,,,,,,['shell'],['shell'],"Just as you can attach custom formatters for scan output in the shell, it would be great to be able to provide the inverse transformation for use when inserting. right now, if you are using a formatter on a table, you typically cannot copy lines to reinsert with modifications, without also manually reversing whatever your formatter is doing.",pluggable parser for insert shell command,2,,,mberman,True,,mberman
accumulo,ACCUMULO-4500,2016-10-17T04:02:10.000+0000,2017-03-20T15:06:18.000+0000,2017-03-20T15:35:26.000+0000,,Fixed,New Feature,Major,['2.0.0'],,45600,55200,,,,100,"['client', 'tserver']","['client code', 'tablet server']","Add support to quickly extract a histogram of all of the visibilities stored in an Accumulo table.

DISCUSS: https://lists.apache.org/thread.html/df5e764362a95277344fd2731a432e9fafc60595e7d30015d9a56b9c@%3Cdev.accumulo.apache.org%3E",Implement visibility histograms as a table feature,4,,,elserj,True,kturner,elserj
accumulo,ACCUMULO-4493,2016-10-06T17:16:54.000+0000,,2019-06-11T05:12:46.000+0000,,,New Feature,Minor,,,,,,,,,['shell'],['shell'],"Users should be able to launch the shell in a kerberos deployment using a keytab.

current workaround: use the system shell to kinit with the keytab, then launch the shell, then kdestroy

Workaround doesn't allow re-login from keytab for long running shell.",Shell should be able to use keytab login,3,,,busbey,True,,busbey
accumulo,ACCUMULO-4492,2016-10-06T17:10:50.000+0000,,2019-06-11T06:07:00.000+0000,,,New Feature,Major,,,,,,,,,,,"When converting an existing cluster to use Kerberos, existing user permissions aren't much use unless the user names happen to be formatted like Kerberos principals.

An offline tool that folks migrating can use to map existing user names to principals would be super useful.

Essentially something like:

{code}
$ accumulo kerberos-migration --include-users=* --exclude-users=root --no-instance --realm=EXAMPLE.COM
Migrating users matching '*' and not matching 'root'.
User principals will not have an instance component.
User principals will be in the realm 'EXAMPLE.COM'
Found user 'auser', converted to 'auser@EXAMPLE.COM'
Found user 'another_user', converted to 'another_user@EXAMPLE.COM'
Found user 'hpnewton', converted to 'hpnewton@EXAMPLE.COM'
Found user 'root', skipped due to exclusion rule
{code}",operations tool to migrate existing users when enabling Kerberos,2,,,busbey,True,,busbey
accumulo,ACCUMULO-4487,2016-10-05T22:04:44.000+0000,2019-04-16T19:01:54.000+0000,2019-04-16T19:01:54.000+0000,,Not A Problem,New Feature,Major,,,,,,,,,['test'],['system tests'],"In addition to TestCaseName, TestCaseStatus, TestSuiteName and elapsed time, we would like to gather the following: testCaseStartTime, testCaseEndTime, and testCaseAnnotations. 

",Enhance test reporting features to be extended beyond current granularity,3,,,cheng xu,True,cheng xu,cheng xu
accumulo,ACCUMULO-4307,2016-05-09T19:36:19.000+0000,,2019-04-23T20:27:01.000+0000,,,New Feature,Major,,,,,,,,,['build'],"['tarball, packaging, and the Maven build']","Found https://siom79.github.io/japicmp/MavenPlugin.html today and tested it out. Was wondering what thoughts are for incorporating this into the build. I tested it on 1.6.6-SNAPSHOT by dropping the following into the test pom file:

{noformat}
    <profile>
      <id>semver-compliance</id>
      <build>
        <plugins>
          <plugin>
            <groupId>com.github.siom79.japicmp</groupId>
            <artifactId>japicmp-maven-plugin</artifactId>
            <version>0.7.2</version>
            <executions>
              <execution>
                <id>client compliance</id>
                <goals>
                  <goal>cmp</goal>
                </goals>
                <phase>verify</phase>
                <configuration>
                  <oldVersion>
                    <dependency>
                      <groupId>org.apache.accumulo</groupId>
                      <artifactId>accumulo-core</artifactId>
                      <version>1.6.5</version>
                      <type>jar</type>
                    </dependency>
                  </oldVersion>
                  <newVersion>
                    <dependency>
                      <groupId>org.apache.accumulo</groupId>
                      <artifactId>accumulo-core</artifactId>
                      <version>${project.version}</version>
                      <type>jar</type>
                    </dependency>
                  </newVersion>
                  <parameter>
                    <includes>
                      <include>org.apache.accumulo.core.client</include>
                      <include>org.apache.accumulo.core.data</include>
                      <include>org.apache.accumulo.core.security</include>
                    </includes>
                    <excludes>
                      <exclude>*crypto*</exclude>
                      <exclude>*impl*</exclude>
                      <exclude>*thrift*</exclude>
                    </excludes>
                    <accessModifier>protected</accessModifier>
                    breakBuildBasedOnSemanticVersioning>true</breakBuildBasedOnSematicVersioning>
                    <onlyModified>true</onlyModified>
                  </parameter>
                </configuration>
              </execution>
            </executions>
          </plugin>
        </plugins>
      </build>
    </profile>
{noformat}

 I tried getting the previous release version number using the build-helper-maven-plugin, but it found the wrong version. If we use this we would also have to include an execution for minicluster and determine whether or not we want to use the reporting feature of the plugin.",semver compliance maven plugin,3,,,dlmarion,True,ctubbsii,dlmarion
accumulo,ACCUMULO-4061,2015-11-19T12:51:09.000+0000,2017-07-24T23:33:02.000+0000,2017-07-24T23:33:02.000+0000,,Fixed,New Feature,Minor,['2.0.0'],,5400,6600,,,,100,['tserver'],['tablet server'],"When upgrading by performing a rolling restart, realized that there was no way to determine the version of a running tserver other than using ps to get start time or maybe a versioned package on the classpath.

A typical deployment structure seems to be lay down the Accumulo directories with a version and then use a symbolic link to point to the version that is used at run-time. As an example:

/usr/local/accumulo
/usr/local/accumulo/accumulo-1.6.2
/usr/local/accumulo/accumulo-1.6.3
/usr/local/accumulo/accumulo-latest --> /usr/local/accumulo/accumulo-1.6.3

To upgrade without a complete shutdown, we lay down the new version, update the symbolic link and then perform a rolling restart of the tservers, with scripts, env,... using the symbolic link to specify which version are used.

Realized that if the rolling shutdown failed for any particular tserver, it would keep running the previous version.  The only way to determine if we were running the desired version was to use ps and check the running time of the tserver process.

The could also be a situation were a ""dead"" server would be offline during the upgrade and not receive the new version. If the server was resurrected and services started before updated versions are installed it could be difficult to determine exactly what version of the tserver was running. 

It would be nice if there was some way to ask a running tserver what version it is. That way, post-upgrade we could confirm that all running tservers reply with the expected version.

",Add way to determine Accumulo version from a running tserver,4,,,etcoleman,True,lstav,etcoleman
accumulo,ACCUMULO-3982,2015-08-31T14:34:29.000+0000,,2019-04-23T20:27:02.000+0000,,,New Feature,Major,,"['1.6.3', '1.7.0', '1.8.0']",,,,,,,"['client', 'tserver']","['client code', 'tablet server']","On larger systems, especially those of which may split frequently, I've seen churn in the TabletLocator caches. Could we possibly pre-fetch entries for a table so that we don't constantly access the metadata table for tablet locations. 

Additionally, instead of clearing the cache in the case of a miss or failure, could we simply update those entries in the cache? If we do this we may minimize cache misses overall and the need to scan the meta data table. If need be, we could have a threshold before clearing the cache entirely if people see the need for that.

It would also be helpful to add an LRU cache ( or maybe even priority based LRU cache ). In ACCUMULO-3549, we added a cache clear to TabletServer to avoid overwhelming memory. An LRU cache might address this concern and make the clear cache call unnecessary.

",Add LRU mechanism to address memory concerns and possibly pre-fetch Tablet Locations.,5,,,phrocker,True,ecn,phrocker
accumulo,ACCUMULO-3970,2015-08-22T06:10:18.000+0000,,2017-11-30T23:49:58.000+0000,,,New Feature,Minor,,,1800,1800,,,,100,,,"It would be useful to have the ability to generate different representations of a key-value pair at scan time, based on the scan authorizations.

For example, consider [HIPPA safe harbour de-identification|http://www.hhs.gov/ocr/privacy/hipaa/understanding/coveredentities/De-identification/guidance.html#dates]. One of the rules for de-identifying a patient's date of birth is that if a patient is 89 years old or younger, you can disclose his exact year of birth. If a patient is 90 years old or over, you pretend that he's 90 years old.

You can imagine implementing this as a key/value mapping in accumulo like,
{{(pt_id, demographic, pt_dob, PII_DOB) -> ""1925-08-22""}}
{{(pt_id, demographic, pt_dob, SHD_DOB) -> ""1925""}}
Where the value corresponding to visibility SHD_DOB is produced at scan-time, depending on the patient's current age.

Another example would be the ability to produce a salted hash of a unique identifier like a social security number or medical record number, where the salt (or the hash algorithm, or the work factor...) could be specified dynamically without having to re-code all the values in the system.

More broadly speaking, this feature would give organizations more flexibility to change how they deidentify, transform or anonymize data to suit different access levels.

Of course, to do this you'd need to have a pluggable component that can process key/value pairs before visibilities are evaluated. I can see why this might give a lot of people the heeby-jeebies but I'd like to gather as much feedback as possible. Looking forward to hearing your thoughts!",Generating multiple views of a value at scan time,4,,['pull-request-available'],rweeks,True,,rweeks
accumulo,ACCUMULO-3795,2015-05-11T18:12:08.000+0000,2015-07-01T15:21:50.000+0000,2015-07-01T15:25:51.000+0000,,Fixed,New Feature,Major,['1.8.0'],['1.6.2'],3000,3000,,,,100,['tserver'],['tablet server'],"For scans that may take a long time because of some underlying iterator that has to scan many keys and only returns one every so often, it would be great if we could force results to be returned to the user before the buffer has been completely filled (table.scan.max.memory).  I propose that this be time based.  Perhaps we would add a configuration property called something like table.scan.flush.ms.  Note that the buffer would only be flushed (i.e. returned to the client) iff it is non-empty, and the table.scan.flush.ms threshold has been reached since the beginning of the nextBatch call in Tablet.java.",flush the scan buffer if non-empty after configured timeout,4,,,ivan.bella,True,ecn,ivan.bella
accumulo,ACCUMULO-3733,2015-04-15T14:51:19.000+0000,,2015-04-15T15:28:19.000+0000,,,New Feature,Minor,,,,,,,,,,,"I had a thought about a potential performance/API improvement last night. Mutations are great for ensuring that multiple key/value changes to the same row happen atomically, but for some applications they require unnecessary transformation of key/value pairs in and out of the Mutation structure with no real change in information content. We might be able to improve both ingest performance and simplicity of the API by supporting ingesting streams or containers of key/value objects directly.",support an ingest path that avoids Mutation objects,3,,,afuchs,True,,afuchs
accumulo,ACCUMULO-3700,2015-03-27T15:35:03.000+0000,2017-02-15T21:23:37.000+0000,2017-02-15T21:23:37.000+0000,,Duplicate,New Feature,Minor,,['1.6.2'],,,,,,,,,"In a multi-tenant environment I would like to be able to segregate tables to subset of tablet servers for processing isolation and maintaining SLAs.

My thinking is this could be accomplished by defining a configuration that maps namespaces to tablet servers and a custom balancer will utilize this configuration to balance tablets only on the servers associated with its namespace. 
",Table Balancer support for multi-tennacy,4,,"['balancer', 'multi-tenant']",faganm,True,,faganm
accumulo,ACCUMULO-3678,2015-03-18T16:38:33.000+0000,2018-03-19T18:45:26.000+0000,2018-03-19T18:45:26.000+0000,,Incomplete,New Feature,Major,['upgrade-tests-1.0.0'],,,,,,,,['upgrade-tests'],['contrib for testing across Accumulo versions'],test whether a client of one version can read/write data when talking to a cluster of another version,Add client compatibility tests for data operations,1,,,busbey,True,,busbey
accumulo,ACCUMULO-3677,2015-03-18T16:36:41.000+0000,2018-03-19T18:45:28.000+0000,2018-03-19T18:45:28.000+0000,,Incomplete,New Feature,Major,['upgrade-tests-1.0.0'],,,,,,,,['upgrade-tests'],['contrib for testing across Accumulo versions'],"Add a means of fault injection during upgrade tests, so we can make sure

* the system is recoverable.
* Docs cover what to do when things go wrong
",Fault injection during upgrades,1,,,busbey,True,,busbey
accumulo,ACCUMULO-3676,2015-03-18T16:34:40.000+0000,2018-03-19T18:45:27.000+0000,2018-03-19T18:45:27.000+0000,,Incomplete,New Feature,Major,['upgrade-tests-1.0.0'],,,,,,,,['upgrade-tests'],['contrib for testing across Accumulo versions'],"Either vagrant or docker or the like.

Essentially we want a way for someone with a beefy node to spin up what looks like a distributed cluster for doing the tests without having to manage one on their own.",Add option to deploy containerized cluster in test setup,1,,,busbey,True,,busbey
accumulo,ACCUMULO-3675,2015-03-18T16:33:09.000+0000,2018-03-19T18:45:26.000+0000,2018-03-19T18:45:27.000+0000,,Incomplete,New Feature,Major,['upgrade-tests-1.0.0'],,,,,,,,['upgrade-tests'],['contrib for testing across Accumulo versions'],add a test that checks if data exported from one version can be imported in another,Add data compatibility test for import/export,1,,,busbey,True,,busbey
accumulo,ACCUMULO-3674,2015-03-18T16:32:27.000+0000,2018-03-19T18:45:28.000+0000,2018-03-19T18:45:28.000+0000,,Incomplete,New Feature,Major,['upgrade-tests-1.0.0'],,,,,,,,['upgrade-tests'],['contrib for testing across Accumulo versions'],"add tests that see if different client / server versions can perform admin operations.

{quote}
What about some more tricky things over the metadata table (clone, import, export, merge, split table)?
{quote}",Add client compatibility tests for admin operations,1,,,busbey,True,,busbey
accumulo,ACCUMULO-3671,2015-03-18T16:22:50.000+0000,2018-03-19T18:45:29.000+0000,2018-03-19T18:45:29.000+0000,,Incomplete,New Feature,Major,['upgrade-tests-1.0.0'],,,,,,,,['upgrade-tests'],['contrib for testing across Accumulo versions'],"Our data compatibility tests for upgrade should be expanded to include flexing different locality group options

* locality group in place from start of table
* locality group added, full majc has happened
* locality group added, full majc has not happened
* locality group removed, full majc has happened
* locality group removed, full majc has not happened

Each should be sure to have data in the specified locality group(s) as well as in hte default locality group.",Add locality groups to data compatibility tests,1,,,busbey,True,,busbey
accumulo,ACCUMULO-3648,2015-03-05T20:52:32.000+0000,,2015-03-05T23:00:50.000+0000,,,New Feature,Major,,,,,,,,,"['master', 'tserver']","['master', 'tablet server']","There are cases where you would like to scan a table in reverse key order.

For example: 
Consider a table using an inverted timestamp key.
This allows for very quick access to the latest records.

But  It would be helpful to quickly access earliest records without having to:
A) scan through all the records to build a collection to reverse sort
B) store the table again using the reverse key




",Ability to Scan Table Keys in Reverse Order,4,2,"['features', 'performance']",faganm,True,,faganm
accumulo,ACCUMULO-3477,2015-01-13T21:23:11.000+0000,,2019-06-11T06:06:42.000+0000,,,New Feature,Major,,,,,,,,,"['master', 'tserver']","['master', 'tablet server']","I re-read https://github.com/m1ch1/mapkeeper/wiki/Thrift-Java-Servers-Compared today, specifically the section on thshaserver vs tthreadedselectorserver.

{quote}
TThreadedSelectorServer performs better than THsHaServer when the network io is the bottleneck
{quote}

This made me think that in read-heavy environments, we may benefit from using the TThreadedSelectorServer instead of the THsHaServer. I know from previous experiments that we can spend a significant amount of time for a query just sending bytes over the wire from server(s) to a client. Improving this case may have benefit.

Like THsHaServer, TThreadedSelectorServer relies on the TFramedTransport, so this is only relevant for non-SSL and non-SASL cases.",Evaluate use of TThreadedSelectorServer,3,,,elserj,True,,elserj
accumulo,ACCUMULO-3369,2014-11-26T10:53:32.000+0000,2018-06-21T23:54:26.000+0000,2018-06-21T23:54:26.000+0000,,Won't Fix,New Feature,Minor,,,,,,,,,,,"importDirectory does not recurse through subdirectories to import rifles. It would be nice to add an option that would recurse through subdirectories or accept glob patterns to allow the user to specify multiple directories to import.

Here is a snippet of our email conversation from the mailing list to provide some context:
{quote}
Ah, ok. Thanks, Mike.

It wouldn't be too bad to ensure that the failures are unique (we could preserve the directory name in the failures dir). I thought that we assign a unique name on the backend (b-XXXXXXX.rf) so I think that's ok now.

What I'm boiling down to: sounds like a reasonable feature to request if you want to file an issue on JIRA, Ariel. :)

Mike Drob wrote:
Name collision of failures and I think name collision of successes might
cause problems sometimes too. Or maybe that's just with older versions.
Regardless, having to write your own code puts it out of the realm of
easy into at least middling territory - if import directory could
natively handle recursion then it would become easy.

On Tue, Nov 25, 2014 at 10:44 AM, Josh Elser  wrote:

    What's the difficulty, Mike? Handling name collision of failures?

    Mike Drob wrote:

        Ariel,

        There is not an easy way to do this recursively. Your best option is
        going to be writing your own wrapper around the import command. If
        you're using shell commands, this could be as easy as feeding the
        results of 'find . -type d' into a script, or in Java you might
        want to
        look at DirectoryWalker in Apache Commons as possible solutions.

        Mike

        On Tue, Nov 25, 2014 at 10:22 AM, Ariel Valentin
       

             Hello!

             We are running a couple of experiments using
        importDirectory and are
             curious if there is a simple way to import directories
        recursively.
             Based on looking at the source code it does not look like it
             currently supports that feature:


        (https://github.com/apache/__accumulo/blob/__1835c27ca41426ddd570cde14f9612__c45680b917/core/src/main/java/__org/apache/accumulo/core/__client/admin/__TableOperationsImpl.java
        https://github.com/apache/accumulo/blob/1835c27ca41426ddd570cde14f9612c45680b917/core/src/main/java/org/apache/accumulo/core/client/admin/TableOperationsImpl.java

             Are there plans to add it in the future? Or is there a
        simple way to
             do this right now?
{quote}",Recursive Directory Imports,1,,,arielvalentin,True,,arielvalentin
accumulo,ACCUMULO-3206,2014-10-05T02:44:48.000+0000,,2019-06-11T05:12:45.000+0000,,,New Feature,Minor,,['1.6.1'],,,,,,,"['client', 'monitor']","['client code', 'web page monitor']","The broader picture is public programmatic access to information in the Accumulo monitor.  Specifically I'm looking to obtain the number of entries per tablet and per tablet server for a given table.  The use case is to verify that manually set (or automatically set I suppose) table splits are effectively dividing Accumulo data among many tablets, that is, verifying load balancing.

I wrote Accumulo 1.5 code which uses non-public API to obtain this information in the same way the Monitor does via TabletStats. The tricky part was cross-referencing the Metadata table to find the assignment of tablets to tablet servers for a given table.  I rewrote that code for 1.6, switching the name of the Metadata table to ""accumulo.metadata"" and other associated changes, but it would be great to make this part of the public API so that people don't have to use non-public methods to obtain data that Accumulo has in the Monitor and Metadata table anyway.

We could approach this by adding to the TableOperations class or something similar.  A request could go to an Accumulo master which gathers the necessary information from the tablet servers just as the Monitor does, so that the client does not have to do it.",New Public API: Approximate data counts of Tablets and Tablet Servers,7,1,,shutchis,True,,shutchis
accumulo,ACCUMULO-3196,2014-10-03T20:10:39.000+0000,,2019-04-23T20:26:53.000+0000,,,New Feature,Major,,"['1.5.2', '1.6.1', '1.7.0']",,,,,,,"['docs', 'scripts']","['javadocs, manuals, etc.', 'scripts for managing services, etc.']","[From user@ thread|http://mail-archives.apache.org/mod_mbox/accumulo-user/201410.mbox/%3CCAGZGg1idg7U_YVJi_dH-KASK7VVY%3D4r9aReqxGWukVO1s0dmLw%40mail.gmail.com%3E]:

{quote}
ZooKeeper has security features built into it by way of access control
lists (ACLs) on nodes.  Once set, these ACLs can be very hard to get rid
of, especially if errant code has set up nodes that you no longer have any
password for.  This how-to guide shows you how to set up a root user inside
of ZooKeeper that can wipe out any ACLed node.
{quote}",Add support scripts and instructions for manual zookeeper cleanup,2,,,busbey,True,supermallen,busbey
accumulo,ACCUMULO-3091,2014-08-29T00:09:51.000+0000,2014-08-29T18:19:24.000+0000,2014-08-29T18:19:24.000+0000,,Duplicate,New Feature,Major,,,,,,,,,"['master', 'tserver']","['master', 'tablet server']","Accumulo supports user supplied application code running on the server side, but it does not currently share the configuration space with users.

Two specific examples come to mind, but there may be others:

1. Users can supply their own tablet balancer, but have no way to configure it. I can envision a balancer implementation that allows an administrator to modify the number of migrations per iteration by manipulating a property.

2. Users can supply their own iterator implementations. The same iterator class can be applied to multiple tables, each with their own configuration. The behavior of an iterator could be modified at runtime by an administrator by manipulating one property instead of modifying the iterator configuration on each table where it is being used.

Need to think about property visibility...",Support user defined properties,4,,,dlmarion,True,,dlmarion
